P00055040A0000|181 183|FR
P07609079A0387|132 135|T3R
P07609079A0387|197 202|TFIIB
P07609079A0387|239 242|Tat
P07609079A0387|257 260|Tat
P07609372A0261|86 87|5
P07609372A0261|112 114|HR
P07610052A1064|124 127|SAA
P07610052A1064|249 252|APP
P07623821A0649|25 27|-1
P07623844A0639|118 119|H
P07623844A0639|120 123|ras
P07623844A0639|226 227|p
P07628456A0000|196 205|RNase III
P07628456A0000|238 241|PKR
P07629196A0274|81 83|12
P07629196A0274|152 155|Jun
P07629196A0274|196 199|JNK
P07630687A0010|246 247|S
P07635572A1153|36 45|IFN-gamma
P07635572A1153|73 75|RB
P07635572A1153|127 129|RB
P07635572A1153|147 152|CIITA
P07640309A0000|4 22|C-terminal peptide
P07640309A0000|87 90|HMG
P07640309A0000|117 122|TCF-1
P07642538A0138|161 164|NH2
P07642538A0138|202 203|C
P07642538A0138|244 245|N
P07642538A0138|246 247|C
P07642538A0138|287 288|C
P07642538A0138|317 321|MAPK
P07642538A0138|368 369|C
P07642538A0138|386 387|N
P07642538A0138|388 391|Ser
P07642538A0138|421 424|NH2
P07642538A0744|28 29|C
P07642633T0000|2 6|TATA
P07642633T0000|167 169|-1
P07642633T0000|171 176|TEF-1
P07649098A0676|133 134|1
P07649098A0676|153 154|5
P07649098A0676|211 212|2
P07649098A0676|301 302|1
P07649098A0676|337 342|IGF-I
P07649098A0676|352 353|1
P07649098A0676|355 356|3
P07649098A0676|376 381|IGF-I
P07651141A0265|23 24|p
P07651141A0265|30 31|M
P07651141A0265|77 78|p
P07651141A0265|91 92|p
P07651398A0803|38 41|PTB
P07651398A0803|63 66|Tyr
P07651398A0803|75 78|DER
P07651400A0335|68 69|3
P07651424A0487|36 37|p
P07651424A0743|155 156|p
P07657162A1412|163 166|HMG
P07663138A0835|69 72|PBF
P07665567A0495|51 55|CD69
P07665567A0495|98 102|TATA
P07665567A0495|262 263|B
P07665567A0495|268 270|-1
P07665567A0495|272 276|AP-1
P07666538A0000|117 118|5
P07666538A0000|138 139|5
P07666538A0000|150 153|cap
P07670943A0308|160 163|CAD
P07673154A0688|117 118|3
P07673154A0688|118 120|Y1
P07675445A0463|62 64|CA
P07676655A0214|93 94|D
P07678006A0472|54 57|CaM
P07678006A0472|58 61|PDE
P07678006A0472|122 125|CaM
P07678006A0472|126 129|PDE
P07678602A0153|89 97|p47-phox
P07680120A1008|3 6|PCR
P07680120A1008|13 14|1
P07680120A1008|15 16|D
P07680120A1008|88 89|1
P07680120A1008|90 91|D
P07680120A1008|159 163|aFGF
P07682842A0294|131 132|R
P07682842A0294|232 233|5
P07682842A0294|271 272|R
P07682842A0771|73 74|2
P07682842A0771|98 99|3
P07689154A0168|110 111|C
P07689154A0168|157 158|v
P07689154A0168|159 162|src
P07689154A0168|191 194|uPA
P07689154A0168|216 219|AMP
P07689154A0168|299 302|uPA
P07693967A0905|28 30|SL
P07698219A0551|65 66|1
P07698219A0551|117 119|F9
P07698219A0551|137 139|F9
P07698219A0551|148 150|PE
P07699845A0537|170 171|3
P07699845A0537|247 248|3
P07699845A0537|275 276|6
P07699845A0537|314 315|2
P07699845A0537|341 342|1
P07699845A0537|464 465|3
P07701266A0808|168 171|TPN
P07702808A0427|138 139|h
P07702808A0427|140 143|ABP
P07707523A0704|62 63|B
P07707523A0704|107 110|LMP
P07708058A0178|100 104|AP-1
P07708058A0178|148 151|fos
P07714758A1193|55 57|-1
P07720572A1584|59 61|T1
P07720572A1584|62 63|2
P07720572A1584|150 154|myoD
P07720572A1584|190 194|myoD
P07720572A1584|245 247|10
P07720572A1584|247 249|T1
P07720572A1584|250 251|2
P07721878A1163|87 91|Grb2
P07721878A1163|162 164|R1
P07730336A0606|11 13|-1
P07730336A0606|18 22|CREM
P07730336A0606|119 121|E3
P07730337A1439|7 10|RC3
P07730337A1439|15 24|PKC-gamma
P07730337T0000|106 109|RC3
P07731686A0000|105 106|T
P07731898A0823|245 247|-1
P07735590A0990|123 126|cat
P07735590A0990|161 164|cat
P07735590A0990|226 229|cat
P07737118A0317|88 91|GST
P07738839A0173|53 57|rest
P07742550A0407|239 241|FL
P07744846A1006|251 252|A
P07744846A1006|334 335|B
P07744846A1006|340 341|C
P07745685A1442|138 141|CAT
P07745726A1496|157 159|E1
P07749461A1022|215 218|GSE
P07750217T0000|31 32|F
P07752223A0960|74 77|Myc
P07753027A0240|20 24|psbT
P07753027A0240|29 33|psbH
P07753027A0240|34 38|psbN
P07754713A0227|19 24|PRP21
P07754713A0227|46 50|CDC6
P07754713A0227|52 56|CRY2
P07754713A0227|98 101|S24
P07758167A1488|75 77|10
P07758837A1118|59 70|GH receptor
P07758837A1118|158 159|3
P07758837A1118|264 266|P1
P07758837A1118|285 286|2
P07760790A0327|70 73|NIH
P07760790A0327|74 75|3
P07760790A0327|102 106|MEF2
P07761091A0294|63 68|MKP-1
P07761434A1084|6 10|AP-1
P07762431A0356|105 108|per
P07770033A0978|63 64|3
P07774925A0084|152 153|T
P07776979A0702|50 51|2
P07784078A1064|118 121|APL
P07791763T0000|113 114|3
P07796935A0284|107 108|1
P07796935A0284|125 132|alpha 2
P07796935A0284|251 254|PAL
P07796935A0284|271 274|LAP
P07797077A0842|183 188|IRF-1
P07797077A0842|190 195|IRF-2
P07797077A0842|197 202|ICSBP
P07798207A0759|145 148|ETF
P07802355T0000|138 140|-1
P07807002A0500|169 170|B
P07816619A0872|37 40|Dr1
P07816619A0872|222 225|Dr1
P07818416A0895|102 103|g
P07818416A0895|146 148|10
P07818416A0895|149 150|g
P07823964A0922|79 80|C
P07823964A0922|106 107|p
P07826412T0112|117 127|transducin
P07826625X0000|136 137|C
P07826625X0000|337 338|N
P07826625X0000|367 371|TATA
P07828811A0556|37 38|S
P07835088A0238|4 10|HSD3B1
P07835088A0238|15 21|HSD3B2
P07835088A0238|56 57|3
P07835088A0238|166 167|1
P07835088A0238|167 168|p
P07835273A0411|178 179|3
P07835273A0411|182 184|L1
P07835826A0195|28 29|2
P07835826A0195|38 40|D3
P07835826A0195|50 52|D3
P07835826A0195|69 71|D3
P07835826A0195|87 88|3
P07835826A0195|97 99|D3
P07844555A0406|126 127|M
P07853488T0000|96 99|gag
P07853488T0000|158 160|P1
P07853524A1944|31 34|GST
P07853524A1944|100 104|CREB
P07853524A1944|146 148|AT
P07854324A0742|39 43|mik1
P07857086A0949|71 78|Insulin
P07857086A0949|97 98|D
P07857086A0949|100 101|F
P07857086A0949|103 104|H
P07859301A0325|125 129|myc-
P07860208A0000|54 56|-1
P07860208A0000|92 95|TNF
P07860208A0000|173 176|LPS
P07863992A0908|135 137|up
P07863992A0908|193 194|3
P07863992A0908|228 229|5
P07864709A0324|252 254|M2
P07865876A1292|85 87|DP
P07865876A1292|121 126|DRTF1
P07867604A1777|59 60|B
P07867604A1777|125 126|2
P07867604A1777|164 166|up
P07867604A1777|208 209|3
P07876192A0443|124 127|ICE
P07876210A0751|88 89|M
P07876210A0751|98 99|3
P07876210A0751|99 101|P1
P07876210A0751|151 152|M
P07876300A0994|4 7|p97
P07876562A1646|100 101|T
P07876562A1646|152 154|-1
P07880442A0236|88 90|S1
P07880650A0493|136 138|up
P07880650A0493|176 177|A
P07880650A0493|232 233|A
P07888306A1659|22 27|COS-1
P07888306A1659|74 76|IV
P07888306A1659|77 80|PDE
P07888306A1659|181 184|Ca2
P07888306A1659|186 189|CaM
P07888306A1659|270 272|AT
P07888623A0721|65 69|NTF3
P07888623A0721|151 154|MAP
P07890485A0827|96 97|g
P07890485A0827|163 165|O2
P07890485A0827|171 172|g
P07890485A0827|179 180|5
P07890599A0132|233 239|rbSec1
P07890599A0132|300 304|Sec1
P07890599A0132|304 305|p
P07890740A0997|122 124|10
P07890740A0997|142 145|PSD
P07897696A0000|305 307|dl
P07900915A0000|192 194|-1
P07900915A0000|197 198|3
P07900915A0000|202 204|-1
P07900915A0000|276 279|dye
P07910716A0359|98 99|2
P07910716A0359|107 108|5
P07910716A0359|114 117|per
P07910716A0359|177 184|alpha 2
P07910716A0359|208 209|2
P07910716A0359|243 244|6
P07910716A0359|283 285|SC
P07910716A0359|291 298|alpha 2
P07910716A0359|318 319|2
P07910716A0359|343 345|SC
P07910716A0359|377 378|2
P07910716A0359|391 392|1
P07910716A0359|397 398|2
P07910716A0359|428 429|2
P07910716A0359|435 436|5
P07910716A0359|442 445|per
P07910716A0359|455 456|6
P07910946A0323|162 163|5
P07910946A0323|216 220|IL-2
P07910946A0323|232 234|L2
P07911736A1715|18 19|2
P07914192A0211|52 59|DNase I
P07914192A0211|214 215|5
P07914192A0211|224 228|TATA
P07914192A0211|246 250|HER2
P07914700A0000|59 62|PKR
P07916003A0688|59 63|CD79
P07916003A0688|78 82|TATA
P07916003A0688|110 114|CD79
P07916983A0623|70 72|N1
P07916983A0623|73 75|N3
P07926775A0895|136 138|wg
P07926775A0895|172 174|wg
P07926775A0895|205 207|hh
P07927838A0000|177 181|pain
P07929165T0000|123 124|2
P07932943A0113|82 83|2
P07932943A0113|112 113|3
P07935383A0108|9 16|RNase H
P07935383A0108|225 227|L3
P07935418A0447|87 92|RLD-1
P07935447A0972|123 125|HF
P07935447A0972|125 127|-1
P07935447A0972|138 139|B
P07935447A0972|251 257|MLC-2v
P07935626A1249|41 44|CCA
P07937106A0100|84 87|p68
P07937106A0100|92 94|-1
P07937106A0100|167 169|-1
P07937106A0100|200 201|v
P07937106A0100|217 218|A
P07937106A0100|223 224|B
P07937106A0100|278 279|C
P07937841A0790|61 62|1
P07937841A0790|63 66|Cip
P07937841A0790|66 67|1
P07937841A0790|127 130|myb
P07945134A0079|88 90|ft
P07945330A0103|70 72|-1
P07958915A1507|188 191|Ca2
P07959011A0379a|0 11|C/EBP alpha
P07959011A0379a|59 62|ADH
P07959011A0379a|109 111|al
P07961957A1565|53 58|TEF-1
P07961957A1565|68 70|HF
P07961957A1565|70 72|-1
P07961957A1565|129 131|EM
P07969132A0268|216 217|2
P07971709A0907|46 48|IF
P07971709A0907|70 73|CSF
P07972012A0956|169 172|ANP
P07972831A0563|0 5|PAI-1
P07973364A0325|178 179|5
P07973364A0325|198 201|OF1
P07978406A0998|30 33|CBF
P07978406A0998|85 86|g
P07978406A0998|86 88|-1
P07978406A0998|117 121|PCO2
P07978406A0998|165 167|AT
P07980669A0373|28 31|AVP
P07980669A0373|88 91|NPY
P07981246A0112|66 85|GTP-binding protein
P07981246A0112|182 185|fos
P07982964A1017|10 12|PC
P07982964A1017|12 14|-1
P07982964A1017|78 79|p
P07999066A0238|92 96|IL-2
P07999066A0238|171 174|tat
P07999066A0238|259 263|IL-2
P08001792A0284|10 14|git3
P08001792A0284|16 20|git5
P08001792A0284|22 26|git7
P08001792A0284|49 52|act
P08007835A0538|70 72|FB
P08012566A0254|143 144|1
P08017290A1347|131 132|2
P08030239A0833|198 200|-1
P08030239A0833|262 264|-1
P08034680A0180|50 51|B
P08034680A0180|112 113|B
P08035499A0941|237 239|TR
P08039422A0000|122 123|3
P08045834A0783|99 100|P
P08049444A0351|136 137|T
P08049444A0351|159 160|1
P08049444A0351|162 167|SATB1
P08049521T0000|102 105|src
P08054281A0731|186 188|Tl
P08057421A1583|136 140|CBF1
P08057421A1583|171 175|CD23
P08057421A1583|197 200|LMP
P08057421A1583|200 202|-1
P08057421A1583|230 232|Cp
P08057762A0878|65 67|T2
P08057762A0878|133 135|T1
P08057762A0878|144 146|T2
P08063766A0595|63 64|B
P08063766A0595|98 101|PKC
P08063766A0595|152 153|B
P08065331A0279|136 139|HLF
P08070004A0782|111 112|2
P08070004A0782|176 178|m2
P08070654A0000|57 61|pole
P08075421A0621a|67 68|2
P08077236A0243|76 80|COS1
P08077236A0243|85 89|COS7
P08082440A0339a|4 5|P
P08082440A0339a|14 16|LH
P08082440A0339a|21 22|P
P08083011A0584|87 88|R
P08083011A0584|136 137|R
P08084339A0907|175 176|C
P08097732A0000|207 208|1
P08098228A0625|22 23|2
P08098228A0625|48 51|PPO
P08098914A0400|168 169|P
P08101839A0000|88 92|mdr1
P08108343A0000|182 183|5
P08113736A0309|182 184|-1
P08113736A0309|209 210|3
P08119149A0000|29 32|TNF
P08119995A0814|47 50|RXR
P08119995A0814|207 208|5
P08125949A1162|120 125|rpl12
P08125949A1162|213 216|L12
P08128629A1164|90 93|p60
P08128629A1164|101 104|p40
P08128629A1164|125 126|5
P08134108A0277|58 61|YY1
P08134108A0277|87 90|act
P08134115A1161|4 6|-1
P08134115A1161|52 55|GST
P08134115A1161|114 117|myc
P08134115A1161|118 119|H
P08134115A1161|120 121|P
P08134115A1161|130 133|ACT
P08134115A1161|134 137|ATT
P08134115A1161|148 151|myc
P08134115A1161|152 153|H
P08134115A1161|154 155|P
P08134115A1161|206 207|A
P08134115A1161|208 212|TCTA
P08134115A1161|213 215|TA
P08139017A1465|136 138|-1
P08139017A1465|234 236|-1
P08139543A1520|57 62|NHP6B
P08139543A1520|86 90|SLT2
P08144572A0786|53 54|1
P08144572A0786|55 56|2
P08144572A0786|56 57|p
P08144572A0786|151 154|BiP
P08144852A0000|86 89|AVP
P08144852A0000|128 131|CRF
P08144852A0000|149 150|6
P08149484A1551|67 70|PKC
P08149484A1551|165 169|AP-1
P08149484A1551|178 182|AP-1
P08150970A0434|80 82|12
P08150970A0434|114 116|-1
P08164680A1086|97 98|B
P08178446A1160|75 77|TM
P08178572A1118|105 107|IX
P08182056A0695|49 53|NQO1
P08182056A0695|100 104|NQO2
P08183915A0000|39 43|p105
P08183915A0000|107 108|B
P08183915A0000|136 137|B
P08183915A0000|155 156|B
P08183915A0000|190 191|C
P08183915A0000|220 224|p105
P08184923A0829|90 91|5
P08190633A0000|25 29|AP-2
P08190633A0000|73 74|6
P08204824A0000|75 76|S
P08207805A0000|98 101|act
P08208540A0417|152 155|p84
P08208618A1334|10 12|ap
P08208618A1334|29 31|ap
P08212571A0597|78 81|tat
P08212571A0597|193 196|tat
P08218230A1505|145 147|-1
P08223576A1261|139 140|T
P08228805A0540|98 104|p21ras
P08230445A0000|85 87|-1
P08230452A0551|204 205|3
P08230452A0551|306 308|P1
P08230452A1489|111 114|VP1
P08230452A1489|116 119|VP1
P08242861A0368|29 30|C
P08242861A0368|47 48|1
P08245456A0501|85 87|O2
P08245456A0501|106 107|2
P08245456A0501|174 178|IL-5
P08246984A0923|56 57|3
P08246984A0923|121 123|PI
P08246984A0923|124 125|3
P08246984A0923|176 179|p85
P08253777A0301|69 70|5
P08254738A0428|150 151|A
P08254738A0428|168 169|A
P08254738A0428|191 192|T
P08254738A0428|225 226|T
P08257754A0711|93 95|10
P08257754A0711|148 150|HB
P08257754A0711|173 175|10
P08260635A0926|121 126|GAPDH
P08260635A0926|134 138|GapA
P08267667A0748|126 129|CYP
P08267667A0748|184 185|3
P08267667A0748|208 209|F
P08267667A0748|223 224|p
P08267667A0748|274 275|h
P08267667A0748|296 297|F
P08267667A0748|311 312|p
P08267667A0748|365 366|h
P08267667A0748|385 386|F
P08267667A0748|399 400|p
P08267667A0748|460 461|h
P08267667A0748|480 481|F
P08267667A0748|495 496|p
P08270580A0155|70 71|B
P08276234A0119|55 74|DNA-binding protein
P08276234A0119|108 111|fos
P08276762T0000|84 85|2
P08285710A0634|86 87|5
P08286035A0587|56 57|1
P08286035A0587|96 97|A
P08286035A0587|192 195|PCR
P08288622A0725|195 197|12
P08288622A0725|197 199|th
P08288633A0144|117 122|CeGAP
P08288633A0144|203 228|GTPase-activating protein
P08288633A0144|240 243|Bcr
P08288633A0144|294 297|Rho
P08289783A1476|127 130|P19
P08289783A1476|175 177|RA
P08289783A1476|200 202|RA
P08289783A1476|218 220|EC
P08290278A0374|41 44|Myc
P08293412T0000|94 95|5
P08293412T0000|96 99|HT3
P08294459A0446|41 46|SAP-1
P08294459A0446|71 76|SAP-1
P08294459A0446|132 135|PTP
P08294459A0446|162 165|PTP
P08297376A0236|74 79|C/EBP
P08297376A0236|91 101|C/EBP beta
P08297376A0236|183 184|5
P08312243A0177|88 89|2
P08317094A0778|55 56|A
P08317094A0778|77 78|5
P08325504A0226|17 21|RD21
P08334304A0473|142 144|12
P08334989A0070|103 106|myb
P08334989A0070|107 108|5
P08334989A0070|271 272|3
P08336543A0243|54 55|A
P08336543A0243|59 60|F
P08336543A0243|132 133|5
P08337841A0612|242 243|A
P08337841A0612|289 292|GNS
P08349104A0450|167 170|CYC
P08349104A0450|171 174|GAL
P08349632A0679|52 53|N
P08349632A0679|114 115|N
P08350398A1616|145 146|1
P08350398A1616|151 158|alpha 2
P08355680A0824|2 4|AP
P08355680A0824|109 111|-1
P08355680A0824|196 197|6
P08355696A0236|80 84|AP-1
P08355857A1293|23 24|5
P08355857A1293|54 55|A
P08356792T0000|62 63|T
P08357834A0285|68 77|PKC-delta
P08357834A0285|266 269|PKC
P08360180A1041|36 41|PSI-G
P08360180A1041|60 65|PSI-K
P08370119A0642|70 71|3
P08370119A0642|195 198|AT1
P08370275A0290|104 105|2
P08382778A0891|85 88|Raf
P08383217A0357|50 52|-1
P08383217A0357|86 88|-1
P08383217A0357|140 141|C
P08386279A1621|141 142|B
P08386279A1621|166 168|-1
P08386319A1229|82 83|p
P08386319A1229|162 163|1
P08386319A1229|163 164|p
P08387155A1248|100 103|Fos
P08387507A1015|28 32|MyoD
P08387507A1015|89 92|how
P08388543A1263|141 142|C
P08394255A0000|127 130|PCR
P08395014A1364|78 82|BCK2
P08395014A1364|125 129|PPZ1
P08395014A1364|134 138|PPZ2
P08396667T0000|4 7|ABL
P08396667T0000|12 13|v
P08396749A1112a|119 120|B
P08396749A1112a|159 161|dl
P08396749A1112a|163 164|P
P08396749A1112b|119 120|B
P08396749A1112b|159 161|dl
P08396749A1112b|163 164|P
P08400928A0318|97 102|arm 1
P08400928A0318|165 168|arm
P08400928A0318|169 170|2
P08400928A0318|191 194|arm
P08400928A0318|195 196|3
P08410097A0356|94 95|p
P08410097A0356|152 153|p
P08411276A0302|215 218|per
P08411276A0302|219 220|A
P08411276A0302|310 311|A
P08411276A0302|313 314|B
P08411276A0302|320 321|C
P08415637A0000|4 27|ADP-ribosylation factor
P08415637A0000|29 32|ARF
P08415637A0000|75 78|RAS
P08425050A0898|46 50|rpeA
P08425050A0898|97 99|PE
P08425221A0000|61 62|B
P08425221A0000|128 129|B
P08428953A1718|435 444|L-plastin
P08429019A0735|31 32|5
P08429019A0735|152 153|5
P08429019A0735|157 158|6
P08429019A0735|174 180|GATA-1
P08429019A2022|83 84|B
P08429019A2022|140 145|ABF-1
P08429019A2022|193 195|AT
P08432696A1117|90 92|IV
P08432696A1117|112 113|N
P08442384T0000|45 46|5
P08443341A0384|92 94|MB
P08443341A0384|183 185|MB
P08443341A0384|228 230|10
P08444345A0403|137 158|DNA-binding protein B
P08454591A1322|48 51|TNF
P08454591A1322|113 118|IRF-1
P08454591A1322|127 131|AP-1
P08454591A1322|140 144|IL-6
P08461946A0386|73 74|2
P08464924A0243|24 29|eIF-5
P08464924A0243|114 119|eIF-5
P08470895A1617|75 79|TATA
P08474456A1041|133 135|-1
P08474456A1041|166 168|D'
P08497248A0000|75 80|CSF-1
P08497269A0999|135 139|GCN2
P08497280A0266|134 138|SWI4
P08497280T0000|52 56|SWI4
P08506317A0000|15 20|C/EBP
P08515619A0184|148 150|Tl
P08515619A0184|214 215|B
P08522175A0306|4 5|p
P08522175A0306|29 33|BTF3
P08522175A0306|235 237|al
P08524235A0695|98 99|1
P08524235A0695|195 198|max
P08524272T0000|88 91|SH2
P08524272T0000|136 137|1
P08529098A0549|102 106|SMF2
P08529098A0549|160 161|6
P08529630A0840|30 39|P protein
P08529654A0589|141 143|-1
P08530149A0689|109 112|TCA
P08530418A1182|118 121|key
P08534367A0984|4 6|S3
P08534367A0984|20 23|PTP
P08534367A0984|24 26|S4
P08534367A0984|88 90|E1
P08537403A0336|40 45|LIMK2
P08537403A0336|116 119|Ser
P08542026A0792|189 190|1
P08552670A0665|47 50|ARS
P08553580A0102|28 32|ORF2
P08555076A0333|35 36|6
P08555076A0333|122 123|2
P08566773A1023|25 29|CTS2
P08569443A0123|88 90|T2
P08575609A0526|6 7|D
P08575754T0000|77 83|CDKN2D
P08575754T0000|114 115|D
P08576131A0151|117 121|USF2
P08576131A0151|150 154|USF2
P08576131A0685|67 69|ex
P08576131A0685|148 151|USF
P08583783A0870|93 96|ANP
P08584035A0740|153 154|3
P08584035A0740|162 163|A
P08584035A0740|211 213|R1
P08589315A1029|179 180|3
P08589358A0235|109 110|3
P08592590A0822|133 137|term
P08598359X0000|90 92|T2
P08598359X0000|264 266|T1
P08598359X0000|267 269|T2
P08604338A0198|22 24|-1
P08605931A0777|140 143|U1A
P08610582A0150|94 96|MR
P08614410A0000|28 32|GnRH
P08621542A0535|33 36|NH2
P08621542A0535|117 126|TNF-alpha
P08621542A0535|130 132|-1
P08621542A0535|138 142|CD28
P08622645A1026|47 49|D3
P08622645A1026|67 69|RA
P08622645A1026|88 91|RXR
P08625900T0000|110 111|A
P08625987A1086|85 87|BI
P08625987A1086|102 105|BII
P08625987A1086|189 192|BII
P08625987A1086|213 214|B
P08626493A1468|37 40|CR2
P08626493A1468|117 120|pRb
P08626493A1468|181 186|PEPCK
P08626493A1468|199 200|2
P08626493A1468|201 202|3
P08626698A0989|55 58|PKC
P08626809A0729|106 109|key
P08626809A0729|132 142|eIF-2alpha
P08628254A0665|71 74|AP1
P08628254A0665|116 122|Ha-Ras
P08632009A1067|29 34|C/EBP
P08634420A1784|21 24|Epo
P08634420A1784|91 93|12
P08634420A1784|121 122|R
P08635771A0000|114 116|GC
P08635771A0000|117 119|MS
P08637711A1121|55 58|IFN
P08637711A1121|90 95|IRF-1
P08637711A1121|106 108|IR
P08637711A1121|109 114|IRF-1
P08637711A1121|134 138|Stat
P08637711A1121|194 198|IL-6
P08637711A1121|240 243|IL6
P08639561T0000|25 28|ras
P08639561T0000|208 210|10
P08639561T0000|282 285|NMR
P08643578A0000|68 69|2
P08643578A0000|213 217|FUS1
P08643578A0532|33 38|Cdc42
P08647086A0622|34 36|D1
P08647086A0720|16 18|D1
P08647086A0720|80 82|H1
P08647086A0720|92 95|pRB
P08647086A0720|108 109|T
P08647086A0720|119 120|p
P08647086A0720|124 129|E2F-1
P08647086A0720|197 201|Cdk2
P08647086A0720|215 219|Cdk2
P08647086A0720|227 228|A
P08647264T0000|48 49|B
P08647264T0000|212 216|PARP
P08647451A0663|46 53|HEP-COP
P08647802A0000|108 111|SH2
P08647802A0000|127 131|Grb2
P08647822T0000|77 78|3
P08647822T0000|113 114|A
P08648408A0792|91 93|GO
P08648408A0792|113 116|CSA
P08648408A0792|117 119|GO
P08649405T0000|27 32|CD11c
P08649405T0000|100 103|AP1
P08649425T0000|82 83|3
P08651853A0607|176 178|12
P08651853A0607|206 209|CA4
P08662928T0000|126 130|IL-6
P08663120T0000|10 15|Raf-1
P08663120T0000|30 32|S6
P08666404A0311|188 191|PP5
P08666404A0311|222 225|PPT
P08668190A1364|59 60|H
P08668190A1364|103 104|1
P08668190A1364|104 105|p
P08668190A1364|132 135|Ca2
P08668190A1364|141 142|H
P08676495A0129|100 102|-1
P08676495A0129|119 121|-1
P08676858A0309|42 49|S-RNase
P08677443A0238|175 176|v
P08677443A0238|217 218|v
P08677443A0238|236 237|2
P08677443A0238|243 244|3
P08677443A0238|270 271|v
P08677443A0238|272 273|5
P08677443A0238|279 280|5
P08677443A0238|282 283|v
P08680706A0889|8 9|h
P08683106A0374|18 27|IFN-alpha
P08683106A0374|38 43|STAT1
P08683106A0374|61 65|IL-2
P08683106A0374|103 112|IFN-alpha
P08683106A0374|137 142|STAT1
P08702543A0000|5 10|IP4BP
P08702543A0000|107 110|1,3
P08702807A0964|132 134|D1
P08702807A0964|164 166|D1
P08702936A0168|188 191|CD4
P08703010A0905|81 84|GAP
P08703010A0905|173 176|GAP
P08703908A1814|44 48|SF-1
P08703908A1814|57 60|key
P08703908A1814|129 133|StAR
P08704240A1111|14 16|-1
P08704240A1111|32 38|GM-CSF
P08704240A1111|58 62|CREB
P08704240A1111|92 94|10
P08706368A1024|202 203|p
P08709245A1521|77 80|Ser
P08709245A1521|89 92|Ser
P08710151A0782|64 67|pnx
P08710151A0782|80 81|A
P08710151A0782|118 119|B
P08710151A0782|154 155|A
P08723883A1684|64 67|hay
P08723883A1684|140 143|hay
P08723883A1684|196 197|A
P08726024A0532|100 101|2
P08726024A0532|206 207|2
P08740416A0919|79 80|p
P08749394A0874|93 104|RBP-J kappa
P08749394A0874|109 114|Su(H)
P08754777A1214|45 48|T3R
P08754777A1214|49 52|RXR
P08756597A0854|75 79|psaB
P08760286A0696|214 217|Rho
P08760286A0696|268 272|MAPK
P08760286A0696|276 279|JNK
P08760286A0696|313 316|Vav
P08761480A0331|88 93|PDE4A
P08761480A0331|159 160|N
P08761480A0331|196 197|v
P08761480A0331|198 201|Src
P08761480A0331|207 212|met26
P08761480A0331|246 249|PDE
P08761480A0331|266 267|N
P08761480A0331|325 326|v
