P00027739T0000|6 31|gamma glutamyltransferase
P01560021A0379|81 93|AE3 variants
P01560774A0885|73 77|fliA
P01563343A0548|0 13|Lac operators
P01563343A0548|64 67|CAB
P01569584A0672|83 87|m6F6
P01569584A0672|83 92|m6F6 cDNA
P01569945A0529|4 8|SEN1
P01572549A0000|0 31|Protein tyrosine kinases (PTKs)
P01573270A0000|4 7|IA4
P01573270A0000|107 118|HLA class I
P01577740A1111|35 37|S1
P01577740A1111|35 46|S1 nuclease
P01577819A0709|12 15|PRP
P01577819A0709|12 25|PRP-precursor
P01581965A0388|160 163|rho
P01581965A0388|241 248|GTPases
P01582413A0759|54 70|bHLH protein E12
P01582413A0759|59 70|protein E12
P01584812T0000|113 140|transcription factor NGFI-C
P01584812T0000|134 140|NGFI-C
P01585014A0000|416 456|pregnant mare serum gonadotrophin (PMSG)
P01585014A0000|467 503|follicle stimulating hormone (FSH-P)
P01588315A0356|93 103|polyhedrin
P01588315A0356|93 103|polyhedrin
P01588913A0000|25 46|Escherichia coli dnaA
P01588913A0000|42 46|dnaA
P01588913A0000|42 51|dnaA gene
P01588963A1153|91 96|Cdc25
P01588965A0000|0 4|GCR1
P01612085A0624|4 24|serum erythropoietin
P01612085A0624|4 30|serum erythropoietin (EPO)
P01612085A0624|10 30|erythropoietin (EPO)
P01617801A0088|37 42|renin
P01618027A1108|113 126|wild-type E10
P01618027A1108|123 135|E10 fragment
P01618027A1108|123 126|E10
P01620129A0417|52 58|HiNF-D
P01620129A0417|106 114|H4-FO108
P01627828A0475|59 62|SmN
P01628806A1347|63 66|Y's
P01628806A1347|119 127|helicase
P01630454A0635|67 71|Act1
P01630455A0448|32 57|NFIL-1 beta A (NF beta A)
P01630455A0448|175 201|human and murine IL-1 beta
P01630455A0448|185 207|murine IL-1 beta genes
P01630455A0448|185 201|murine IL-1 beta
P01630455A0448|192 207|IL-1 beta genes
P01630455A0448|192 201|IL-1 beta
P01633435A0743|4 9|DRF-2
P01633816A0667|23 33|4-kb EcoRI
P01633816A0667|28 42|EcoRI fragment
P01633816A0667|28 33|EcoRI
P01633816A0667|118 121|opn
P01633816A0667|221 223|S1
P01634464A0163|31 41|factor VII
P01644751A0590|117 121|msgB
P01644751A0590|117 126|msgB gene
P01644796A0374|61 66|furin
P01644821A1259|229 235|PSG1-I
P01645902A1462|43 48|Syn 5
P01645902A1462|143 148|UL 24
P01645902A1462|169 172|syn
P01646157A0414|14 45|3.6-kb full-length alpha-GalNAc
P01646157A0414|14 50|3.6-kb full-length alpha-GalNAc cDNA
P01646157A0414|21 45|full-length alpha-GalNAc
P01646157A0414|21 50|full-length alpha-GalNAc cDNA
P01646157A0414|21 59|full-length alpha-GalNAc cDNA sequence
P01646157A0414|33 59|alpha-GalNAc cDNA sequence
P01646157A0414|33 50|alpha-GalNAc cDNA
P01646157A0414|33 45|alpha-GalNAc
P01646157A0414|187 228|human alpha-galactosidase A (alpha-Gal A)
P01646157A0414|187 233|human alpha-galactosidase A (alpha-Gal A) cDNA
P01646157A0414|193 233|alpha-galactosidase A (alpha-Gal A) cDNA
P01646157A0414|193 228|alpha-galactosidase A (alpha-Gal A)
P01646157A0414|193 214|alpha-galactosidase A
P01646157A0414|215 233|(alpha-Gal A) cDNA
P01647070A0232|11 25|JCV T antigens
P01647070A0232|15 25|T antigens
P01647656A0000|32 56|beta-adrenergic receptor
P01648530A0000|34 76|muscle-specific Xenopus cardiac actin gene
P01648530A0000|34 71|muscle-specific Xenopus cardiac actin
P01648530A0000|50 76|Xenopus cardiac actin gene
P01648530A0000|50 71|Xenopus cardiac actin
P01648530A0000|50 85|Xenopus cardiac actin gene promoter
P01648530A0000|58 71|cardiac actin
P01648530A0000|58 85|cardiac actin gene promoter
P01648530A0000|58 76|cardiac actin gene
P01648530A0000|66 76|actin gene
P01648530A0000|66 85|actin gene promoter
P01648530A0000|151 176|cardiac actin-beta-globin
P01648530A0000|151 185|cardiac actin-beta-globin reporter
P01648530A0000|151 190|cardiac actin-beta-globin reporter gene
P01648530A0000|151 164|cardiac actin
P01648530A0000|159 185|actin-beta-globin reporter
P01648530A0000|159 190|actin-beta-globin reporter gene
P01648530A0000|159 176|actin-beta-globin
P01648530A0000|165 190|beta-globin reporter gene
P01648530A0000|165 185|beta-globin reporter
P01649318A0734|26 30|CD23
P01649318A0734|88 111|herpes simplex virus TK
P01649318A0734|88 120|herpes simplex virus TK promoter
P01649318A0734|88 140|herpes simplex virus TK promoter transcription start
P01649318A0734|109 111|TK
P01649318A0734|109 120|TK promoter
P01649318A0734|109 145|TK promoter transcription start site
P01649835A0822|17 43|cloned bovine PBR/IBP cDNA
P01649835A0822|17 38|cloned bovine PBR/IBP
P01649835A0822|24 43|bovine PBR/IBP cDNA
P01649835A0822|24 38|bovine PBR/IBP
P01649835A0822|31 38|PBR/IBP
P01649835A0822|31 43|PBR/IBP cDNA
P01649835A0822|35 43|IBP cDNA
P01651918A0000|121 185|testis fructose-6-phosphate,2-kinase:fructose-2,6-bisphosphatase
P01651918A0000|128 185|fructose-6-phosphate,2-kinase:fructose-2,6-bisphosphatase
P01652755A1492|83 126|wt human retinoblastoma susceptibility gene
P01652755A1492|86 126|human retinoblastoma susceptibility gene
P01652755A1492|86 134|human retinoblastoma susceptibility gene product
P01652755A1492|92 126|retinoblastoma susceptibility gene
P01652755A1492|92 134|retinoblastoma susceptibility gene product
P01653173A0619|52 54|E2
P01653173A0619|100 113|P105 promoter
P01653173A0619|100 104|P105
P01653173A0619|100 122|P105 promoter TATA box
P01653173A0619|170 181|HPV-18 P105
P01653173A0619|170 199|HPV-18 P105 promoter template
P01653173A0619|177 181|P105
P01653173A0619|177 190|P105 promoter
P01653173A0619|177 199|P105 promoter template
P01653236A0895|49 72|glucocorticoid receptor
P01653238A1062|139 143|AP-1
P01653238A1062|174 220|transforming growth factor beta 1 (TGF-beta 1)
P01655713A0294|70 81|S-deficient
P01655713A0294|70 71|S
P01655713A0294|112 115|Tn1
P01655713A0294|119 134|chromosomal Tn1
P01655713A0294|131 134|Tn1
P01655713A0294|131 155|Tn1 insertional mutation
P01656221A1319|94 98|FGFR
P01657249A1019|4 24|anti-I and anti-i CA
P01658356T0000|75 87|env elements
P01658375A0854|203 206|LAT
P01658741A1047|84 114|Saccharomyces cerevisiae ADE 1
P01658741A1047|109 120|ADE 1 locus
P01658741A1047|109 114|ADE 1
P01659685T0000|73 76|ras
P01661369A0825|24 28|strE
P01662609A0398|39 64|420 amino acids (M.HgiCI)
P01662609A0398|56 63|M.HgiCI
P01662609A0398|86 93|R.HgiCI
P01662794A0640|18 21|wt1
P01662807A1182|30 32|TR
P01671675A0483|85 88|CAD
P01671675A0905|89 92|CAD
P01673220A0578|76 78|Sn
P01673220A0578|76 84|Sn: bol3
P01673220A0578|80 84|bol3
P01673220A0578|80 91|bol3 allele
P01674817T0000|23 28|RNA14
P01674817T0000|33 38|RNA15
P01674817T0000|33 38|RNA15
P01675424A0991|36 52|birch NAD(P)H-NR
P01675424A0991|42 61|NAD(P)H-NR sequence
P01675424A0991|42 52|NAD(P)H-NR
P01675424A0991|79 86|NADH-NR
P01675763A1389|45 48|CD4
P01675763A1389|45 48|CD4
P01678287A1308|12 22|human Antp
P01678287A1308|18 22|Antp
P01678287A1308|18 44|Antp TATAA binding protein
P01679749A1171|163 181|HSPG2 proteoglycan
P01679749A1171|163 168|HSPG2
P01682509A0539|30 52|major IE proteins IE86
P01682509A0539|36 52|IE proteins IE86
P01682509A0539|36 47|IE proteins
P01684791A0000|68 96|chicken glutamine synthetase
P01684791A0000|76 101|glutamine synthetase gene
P01684791A0000|76 96|glutamine synthetase
P01687050T0000|40 62|immunoglobulin G (IgG)
P01687050T0000|40 56|immunoglobulin G
P01690812A0000|112 116|28 S
P01690812A0000|112 120|28 S RNA
P01692135A0783|13 31|rtFc gamma R alpha
P01692135A0783|15 25|Fc gamma R
P01692135A0783|149 167|Fc gamma R-related
P01692962A0980|25 59|chimeric alpha i(54)/s polypeptide
P01692962A0980|25 47|chimeric alpha i(54)/s
P01692962A0980|34 59|alpha i(54)/s polypeptide
P01694014A0716|160 164|LD78
P01694525A0000|0 37|Isopenicillin N isomerase (epimerase)
P01695098A1116|0 9|Serum IgG
P01695322A0000|0 13|Wnt-1 (int-1)
P01695378A1406|116 120|FKBP
P01695905A0480|0 5|GLUT5
P01697683T0000|60 70|cytotactin
P01697928A1214|111 121|interferon
P01697928A1214|227 268|alpha/beta interferon-inducible promoters
P01698761A1059|96 128|carboxy-terminal histone H1-like
P01698761A1059|96 123|carboxy-terminal histone H1
P01698761A1059|113 123|histone H1
P01698761A1059|121 123|H1
P01698761A1059|121 128|H1-like
P01699944A1538|174 185|alpha-actin
P01699944A1538|191 196|c-fos
P01700272A0838|19 21|B4
P01702426A0196|151 181|avian fatty acid synthase gene
P01702426A0196|151 176|avian fatty acid synthase
P01702426A0196|157 181|fatty acid synthase gene
P01702972A0613|79 84|G0S19
P01702972A0613|154 159|G0S30
P01703632T0000|4 34|Drosophila suppressor of sable
P01703632T0000|15 39|suppressor of sable gene
P01703632T0000|15 34|suppressor of sable
P01708098A0922|6 19|avidin-biotin
P01708098A0922|6 27|avidin-biotin complex
P01708098A0922|72 90|alpha promoter DNA
P01708098A0922|72 86|alpha promoter
P01709486A0000|4 47|murine mutation dominant white spotting (W)
P01709486A0000|11 47|mutation dominant white spotting (W)
P01709486A0000|11 43|mutation dominant white spotting
P01709486A0000|20 47|dominant white spotting (W)
P01709486A0000|20 43|dominant white spotting
P01710768A1172|145 151|HLA-B7
P01710979T0000|12 15|SH3
P01711041A0962|4 6|C5
P01711048T0000|62 76|pro-alpha 2(I)
P01711048T0000|62 90|pro-alpha 2(I) gene (COL1A2)
P01711048T0000|77 90|gene (COL1A2)
P01713213A0000|45 56|human pim-1
P01713213A0000|51 71|pim-1 proto-oncogene
P01713213A0000|51 56|pim-1
P01713213A0000|155 166|human Pim-1
P01713213A0000|161 173|Pim-1 enzyme
P01713213A0000|161 166|Pim-1
P01713213A0488|2 25|full-length human pim-1
P01713213A0488|14 25|human pim-1
P01713213A0488|14 30|human pim-1 cDNA
P01713213A0488|20 30|pim-1 cDNA
P01713213A0488|20 25|pim-1
P01713213A0488|87 92|Pim-1
P01713213A0488|136 177|bacterial glutathione S-transferase (GST)
P01713213A0488|146 177|glutathione S-transferase (GST)
P01713213A0488|146 171|glutathione S-transferase
P01714322A0969|51 62|18 kDa hsps
P01714902A0221|45 86|Ti alpha-beta CD3 gamma delta epsilon TCR
P01714902A0221|45 96|Ti alpha-beta CD3 gamma delta epsilon TCR complexes
P01714902A0221|45 82|Ti alpha-beta CD3 gamma delta epsilon
P01714902A0221|59 86|CD3 gamma delta epsilon TCR
P01714902A0221|59 96|CD3 gamma delta epsilon TCR complexes
P01714902A0221|83 86|TCR
P01716292A0000|172 199|recombinant DRB/H-2Eb genes
P01716292A0000|172 193|recombinant DRB/H-2Eb
P01716292A0000|172 187|recombinant DRB
P01716292A0000|184 199|DRB/H-2Eb genes
P01716292A0000|184 193|DRB/H-2Eb
P01716292A0000|188 199|H-2Eb genes
P01716629A0000|46 87|extracellular matrix glycoprotein undulin
P01716629A0000|67 87|glycoprotein undulin
P01717718A1255|37 47|Gag-Pol PR
P01717718A1255|37 54|Gag-Pol PR domain
P01717718A1255|37 44|Gag-Pol
P01717718A1255|45 47|PR
P01717718A1255|45 47|PR
P01717718A1255|45 47|PR
P01717718A1255|171 178|Gag-Pol
P01717833A1223|4 17|alpha inhibin
P01717833A1223|123 127|CREB
P01717833T0000|18 31|alpha inhibin
P01717994T0000|87 98|yeast cdc28
P01717994T0000|93 98|cdc28
P01720555A1087|17 30|2-kilobase B2
P01720555A1087|28 41|B2 transcript
P01720555A1087|28 30|B2
P01721884A0962|77 112|retroviral ribonuclease H (RNase H)
P01721884A0962|77 119|retroviral ribonuclease H (RNase H) domain
P01721884A0962|88 119|ribonuclease H (RNase H) domain
P01721884A0962|88 102|ribonuclease H
P01721884A0962|88 112|ribonuclease H (RNase H)
P01721884A0962|103 119|(RNase H) domain
P01721884A0962|104 111|RNase H
P01722319A0849|58 64|CHIP28
P01723962A0165|22 28|lipase
P01724982A0237|22 44|anti-HCV (anti-C100-3)
P01727488A1146|0 9|PRDII-BF1
P01731107A0928|50 54|ICR2
P01731933T0000a|38 48|T4 gene 32
P01731933T0000a|38 56|T4 gene 32 protein
P01731933T0000a|41 56|gene 32 protein
P01731933T0000b|27 56|mutants of T4 gene 32 protein
P01731933T0000b|27 48|mutants of T4 gene 32
P01731933T0000b|38 56|T4 gene 32 protein
P01731933T0000b|38 48|T4 gene 32
P01731933T0000b|41 56|gene 32 protein
P01731933T0000b|41 48|gene 32
P01731979A1408|93 101|CaMV 35S
P01731979A1408|98 127|35S domain B enhancer element
P01731979A1408|98 101|35S
P01731979A1408|98 119|35S domain B enhancer
P01731979A1408|98 110|35S domain B
P01731979A1408|109 119|B enhancer
P01731979A1408|109 127|B enhancer element
P01732736A1076|26 36|POU-domain
P01732736A1076|26 29|POU
P01732752A0156|86 88|LT
P01734020A1318|168 177|PKC alpha
P01734283A0817|32 37|RAP74
P01735347A0482|107 113|lipase
P01735447A0271|63 104|cytoplasmic precursor (pre-super-pro-PrB)
P01735447A0271|90 103|super-pro-PrB
P01735447A0271|96 103|pro-PrB
P01735447A0271|100 103|PrB
P01735447A0271|121 126|sec61
P01735447A0833|127 134|pro-PrB
P01735447A0833|131 134|PrB
P01735721A0185|96 101|TyrTS
P01735721A0185|96 101|TyrTS
P01735721A0185|180 197|B. subtilis TyrTS
P01735721A0185|192 197|TyrTS
P01735721A0185|192 202|TyrTS gene
P01738936A0292|17 25|plasma C
P01738936A0292|24 33|C-peptide
P01740437A0851|37 47|liver HSPG
P01742606A0000|8 27|brain beta-spectrin
P01742606A0000|14 27|beta-spectrin
P01742606A0000|143 164|235 kDa spectrin beta
P01742606A0000|143 159|235 kDa spectrin
P01742606A0000|151 172|spectrin beta-subunit
P01742606A0000|151 159|spectrin
P01742606A0000|151 164|spectrin beta
P01742879A0471|16 19|AVP
P01744042A1355|4 8|csbA
P01744119A0757|19 26|primase
P01744119A0757|164 177|63-kDa gene 4
P01744119A0757|171 185|gene 4 protein
P01744119A0757|171 177|gene 4
P01748287T0000|0 17|Human SRF-related
P01748287T0000|0 26|Human SRF-related proteins
P01748287T0000|6 17|SRF-related
P01748292A0000|47 70|G protein alpha subunit
P01748292A0000|47 56|G protein
P01748292A0000|47 62|G protein alpha
P01748630A0125|69 74|c-Myc
P01748630A0125|71 74|Myc
P01752441A0000|34 43|HIV-1 Tat
P01752441A0000|40 51|Tat protein
P01752441A0000|40 43|Tat
P01754381A0000|63 78|DNA polymerases
P01754381A0000|219 266|DNA polymerase alpha catalytic core (pol alpha)
P01754381A0000|219 239|DNA polymerase alpha
P01762914A1218|11 14|uPA
P01762917A0615|66 70|TGEK
P01765266A0000|41 87|elongation factor 1-alpha variant EF-1 alpha O
P01765266A0000|41 66|elongation factor 1-alpha
P01765375A0290|63 71|clathrin
P01765375A0290|63 71|clathrin
P01766876A0000|59 73|mu heavy chain
P01767592A0682|102 121|HAP2/HAP3 consensus
P01767592A0682|102 111|HAP2/HAP3
P01767592A0682|102 142|HAP2/HAP3 consensus recognition sequence
P01767592A0682|167 171|BAF1
P01767592A0682|167 181|BAF1 consensus
P01767899A0136|44 54|fibrinogen
P01768648A0853|29 33|LexA
P01768648A0853|29 40|LexA fusion
P01774062A0257|39 47|HLA-DQA1
P01774062A0257|39 53|HLA-DQA1 locus
P01774062A0257|43 53|DQA1 locus
P01774062A0257|66 75|Y3/Ring 4
P01774062A0257|66 81|Y3/Ring 4 locus
P01774062A0257|69 81|Ring 4 locus
P01774063A0161|134 148|thrombospondin
P01774063A0161|201 204|B2M
P01779433A0694|34 44|Alu family
P01779433A0694|34 51|Alu family repeat
P01779433A0694|124 152|alpha 2 gene-containing unit
P01779433A0694|124 136|alpha 2 gene
P01779433A0694|124 131|alpha 2
P01779433A0694|197 207|Alu family
P01779433A0694|197 214|Alu family repeat
P01779433A0694|197 207|Alu family
P01779433A0694|197 214|Alu family repeat
P01779433A0694|197 207|Alu family
P01779433A0694|197 214|Alu family repeat
P01791754T0000|124 134|haemolysin
P01806314A0322|107 119|muscle actin
P01811948A0289|104 113|LpS1 beta
P01822995T0000|0 10|Maize rbcS
P01822995T0000|6 19|rbcS promoter
P01822995T0000|6 10|rbcS
P01822995T0000|71 81|dicot rbcS
P01822995T0000|77 91|rbcS promoters
P01822995T0000|77 81|rbcS
P01824713A0964|4 11|12S E1A
P01824713A0964|8 11|E1A
P01824713A0964|8 19|E1A product
P01826003A0694|71 74|SIG
P01826003A0694|87 94|beta TG
P01826043A0431|4 19|pp90rsk-protein
P01826043A0431|4 11|pp90rsk
P01826043A0431|8 11|rsk
P01826043A0431|206 222|protein kinase C
P01827068T0000|6 12|GATA-3
P01827068T0000|93 114|T cell receptor alpha
P01827068T0000|93 108|T cell receptor
P01828248A0189|17 21|UvrA
P01828248A0189|49 53|UvrB
P01828248A0189|146 151|UvrAB
P01829460A0329|78 85|kappa B
P01830114A1587|63 65|P4
P01833637A0531|74 81|cdc68-1
P01833637A0531|182 187|HSP82
P01837787T0000|4 17|murine Mov-34
P01837787T0000|11 22|Mov-34 gene
P01837787T0000|11 17|Mov-34
P01842498A0000|92 116|phytohemagglutinin (PHA)
P01842498A0000|112 115|PHA
P01844878A0000|49 79|neomycin phosphotransferase II
P01845885A1003|44 48|UL26
P01845885A1003|115 124|family 35
P01845885A1003|221 225|UL26
P01845885A1003|221 225|UL26
P01845899A0000|4 36|adeno-associated virus (AAV) rep
P01845899A0000|27 41|(AAV) rep gene
P01845899A0000|27 36|(AAV) rep
P01845899A0000|33 41|rep gene
P01845899A0000|33 36|rep
P01846206A0665|34 41|CMV dbp
P01846206A0665|38 41|dbp
P01846489A1119|19 39|picornaviral 3C-like
P01846489A1119|19 48|picornaviral 3C-like protease
P01846489A1119|32 55|3C-like protease domain
P01846489A1119|32 48|3C-like protease
P01846489A1119|32 39|3C-like
P01846489A1119|64 70|papain
P01846489A1119|64 75|papain-like
P01846489A1119|64 84|papain-like protease
P01846803A0688|75 82|p34cdc2
P01847464A0856|33 42|pFRTK-CAT
P01847464A0856|157 180|carboxy-terminal EBNA-1
P01847464A0856|174 180|EBNA-1
P01847464A0856|174 193|EBNA-1 construction
P01847464A0856|239 244|c-myc
P01849509T0000|61 85|insertion sequence ISRm3
P01849509T0000|80 85|ISRm3
P01849509T0000|191 196|IS256
P01849509T0000|227 231|IST2
P01849734A1063|10 14|PR55
P01849734A1063|10 19|PR55 beta
P01850096A0662|154 165|alpha-actin
P01850127A0000|22 24|U2
P01851527T0000|29 89|gene encoding Alzheimer beta-amyloid precursor protein (APP)
P01851527T0000|43 83|Alzheimer beta-amyloid precursor protein
P01851527T0000|43 75|Alzheimer beta-amyloid precursor
P01851527T0000|43 89|Alzheimer beta-amyloid precursor protein (APP)
P01851862A0273|33 36|env
P01852603A0000|4 8|rad9
P01852603A0000|4 30|rad9.192 DNA repair mutant
P01852603A0000|4 12|rad9.192
P01860846A0663|96 102|MARCKS
P01864510A0946|0 6|Dd PK1
P01864510A0946|3 10|PK1 RNA
P01864510A0946|3 6|PK1
P01864821A0000|81 87|globin
P01864837A1029|94 104|contrapsin
P01864837A1029|154 170|alpha 1-protease
P01869565A1254|86 89|ADH
P01870194A0302|36 46|(HIV-1) IN
P01870194A0302|44 46|IN
P01871135A0295|165 182|liver glucokinase
P01871135A0295|171 182|glucokinase
P01871971A0836|56 67|NFIII/OCT-1
P01871971A0836|56 80|NFIII/OCT-1 binding site
P01871971A0836|62 80|OCT-1 binding site
P01871971A0836|97 100|ATF
P01874752A0948|58 66|cdc2/p58
P01874752A0948|71 79|cdc2/p62
P01876836T0000|18 49|Ets- and notch-related subunits
P01876836T0000|18 32|Ets- and notch
P01876836T0000|18 40|Ets- and notch-related
P01876836T0000|27 49|notch-related subunits
P01876836T0000|27 40|notch-related
P01883992A0922|112 121|beta-zein
P01885613A1298|91 115|pro alpha 1(II) collagen
P01885613A1298|95 115|alpha 1(II) collagen
P01885613A1298|95 120|alpha 1(II) collagen gene
P01886774A0000|17 26|POU-homeo
P01886774A0000|17 34|POU-homeo domains
P01895384A0746|4 7|IE0
P01895384A0746|4 20|IE0 gene product
P01895384A0746|45 48|IE1
P01895393A0745|60 63|Sp1
P01895393A0745|60 63|Sp1
P01895393A0745|155 173|RNA polymerase III
P01898928A0260|130 150|Escherichia coli fur
P01898928A0260|147 155|fur gene
P01898928A0260|147 150|fur
P01899409T0000a|93 133|recombinant tissue plasminogen activator
P01899846A0862|15 24|rbcL-rbcS
P01899846A0862|15 30|rbcL-rbcS locus
P01900194T0000|35 60|NADH-ubiquinone reductase
P01900194T0000|77 101|NAD-reducing hydrogenase
P01901859A0000|79 98|glycosyltransferase
P01901946A0243|65 81|mouse c-fos gene
P01901946A0243|65 76|mouse c-fos
P01901946A0243|71 76|c-fos
P01901946A0243|71 90|c-fos gene promoter
P01901946A0243|71 81|c-fos gene
P01901950T0000|88 99|mouse c-fos
P01901950T0000|94 99|c-fos
P01901950T0000|94 104|c-fos gene
P01904154A0164|81 83|Ig
P01904437A0000|21 25|metH
P01904437A0000|21 56|metH gene in Salmonella typhimurium
P01904437A0000|21 30|metH gene
P01904437A0000|109 113|metR
P01904437A0000|109 118|metR gene
P01904546A0671|18 34|chromosomal AAR1
P01904546A0671|30 39|AAR1 gene
P01904546A0671|30 34|AAR1
P01906509A0072|60 73|human nidogen
P01906509A0072|66 78|nidogen gene
P01906509A0072|66 73|nidogen
P01907941A0275|16 23|kappa B
P01907941A0275|16 23|kappa B
P01907941A0275|16 23|kappa B
P01909027A0922|107 120|fork head DNA
P01909027A0922|107 116|fork head
P01909027A0922|160 186|homeotic protein fork head
P01909027A0922|169 186|protein fork head
P01909027A0922|177 186|fork head
P01911767T0000|17 66|small subunit of ribulosebisphosphate carboxylase
P01917943A0621a|25 30|sMtCK
